cruise,station,lon,lat,dttm,dep,fluor,oxygen2,par,pres,sal,sigtheta,temp,theta,file
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,6,0.050625358124662116,5.253917945916101,14.994784068139733,6.0213828086359396,31.850907619135256,23.058253621504733,17.17484003151635,17.173869197943382,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,7,0.0549131116069888,5.2672583340043015,10.810898815261272,6.918563590563499,31.849828701733394,23.060503474850183,17.161834360873716,17.160688692071453,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,8,0.05886437770264698,5.276502345180176,8.143227019048405,8.015139770759463,31.835642023583738,23.075212816030344,17.052266497897254,17.05097825183475,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,9,0.070944413985322,5.293321014265688,5.864422698111649,8.996421208872764,31.83188429290014,23.121413855034223,16.840835806052613,16.839383463346255,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,10,0.078625694919182,5.3136992329529,4.361010897398755,9.981287295058227,31.83523582642952,23.140309547534905,16.770257851804644,16.76866060367302,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,11,0.07310492463526905,5.3150422039026,3.2665346492254606,11.09804176527189,31.827696406002133,23.144416706108757,16.72747000927539,16.72571106805711,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,12,0.07363866602929862,5.317580913239226,2.403439874608628,12.120584448727424,31.818542556887003,23.15022842559934,16.671749704042842,16.669841121666195,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,13,0.07247928435725985,5.324088048752846,1.8673519549561624,13.14197257394834,31.812356519096237,23.156210164741758,16.625084545801094,16.623025105861267,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,14,0.07385811828643843,5.33062981114969,1.3512064382192621,13.878622721793514,31.8004799672371,23.158810076137687,16.57406096269356,16.571834617405546,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,15,0.07099840073423255,5.338848649094584,1.0161181161572417,15.210370003712411,31.788539755805804,23.16508669719094,16.50645220063523,16.50408205255125,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,16,0.08008874805183917,5.343274336682021,0.7526767776607404,16.09299290958542,31.78185223900934,23.17054865030578,16.460203399521017,16.45767867320683,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,17,0.07417737561379513,5.361143963190635,0.5423773871324435,16.910512993852876,31.774545915281863,23.173174147499488,16.424042809229594,16.421373968797983,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,18,0.06964454892435808,5.361370714781401,0.38822513185287993,18.114503816793892,31.765374600971544,23.176136675919498,16.380177550312286,16.377350867453156,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,19,0.0746796713971816,5.360950099317375,0.2778215689215716,19.190267483080888,31.75803080362113,23.18131620777547,16.33252096211877,16.3295439504292,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,20,0.073785135317727693,5.365662254709518,0.1809912873758531,19.963712536255237,31.745480485746928,23.18274942489673,16.283714821433804,16.280572573755606,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,21,0.0681314272075649,5.384155325887648,0.1125723621512677,21.175529254875812,31.745688008607495,23.189387135734744,16.255155812332358,16.251878443376924,C308C-002-HC.cnv
C308C,C308C-002,-70.79666666666667,41.385,2023-06-15T21:19:00.000Z,22,0.06611480935462999,5.3968949112268,0.05476608693625966,22.09694480197279,31.745408255412624,23.18995373823706,16.251837850240264,16.248394597855444,C308C-002-HC.cnv
C308C,C308C-003,-70.98,41.24666666666667,2023-06-16T14:13:00.000Z,6,0.03605311215044909,5.930322755618309,17.302835431619403,5.936874926461938,31.609242191238188,23.187828050358863,15.790222316350944,15.78931970623995,C308C-003-HC.cnv
C308C,C308C-003,-70.98,41.24666666666667,2023-06-16T14:13:00.000Z,7,0.050233991330785044,5.940669844615202,13.915737806155173,6.912993677265647,31.613810102957153,23.202969821379483,15.73769053749787,15.736626674281004,C308C-003-HC.cnv
C308C,C308C-003,-70.98,41.24666666666667,2023-06-16T14:13:00.000Z,8,0.07264934118230214,5.947430326785386,10.354179999632834,8.048217367358177,31.61517131264916,23.21076371690839,15.707246670827978,15.706022541949695,C308C-003-HC.cnv
